[2026-05-30 03:58:53 UTC] CPU: 4.6% | RAM: 0/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:05:16 UTC] CPU: 0.8% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:05:22 UTC] CPU: 2.9% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:05:27 UTC] CPU: 0.0% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:05:33 UTC] CPU: 0.0% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:05:38 UTC] CPU: 1.3% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:05:44 UTC] CPU: 2.8% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:05:49 UTC] CPU: 0.3% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:05:55 UTC] CPU: 0.3% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:06:00 UTC] CPU: 0.8% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:06:06 UTC] CPU: 5.2% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:06:12 UTC] CPU: 0.8% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:06:17 UTC] CPU: 0.0% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:06:23 UTC] CPU: 2.3% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:06:28 UTC] CPU: 0.3% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:06:34 UTC] CPU: 0.8% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:06:39 UTC] CPU: 0.8% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:06:45 UTC] CPU: 0.5% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:06:50 UTC] CPU: 0.5% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:06:56 UTC] CPU: 1.0% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:07:01 UTC] CPU: 5.1% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:07:07 UTC] CPU: 0.8% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:07:13 UTC] CPU: 0.8% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:07:18 UTC] CPU: 0.8% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:07:24 UTC] CPU: 2.3% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:07:29 UTC] CPU: 9.4% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:07:35 UTC] CPU: 1.0% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:07:40 UTC] CPU: 2.5% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:07:46 UTC] CPU: 3.4% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:07:51 UTC] CPU: 9.2% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:07:57 UTC] CPU: 4.7% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:08:02 UTC] CPU: 1.0% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:08:08 UTC] CPU: 0.0% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:08:13 UTC] CPU: 1.8% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:08:19 UTC] CPU: 0.5% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:08:25 UTC] CPU: 2.5% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:08:30 UTC] CPU: 5.9% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:08:36 UTC] CPU: 0.8% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:08:41 UTC] CPU: 0.5% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:08:47 UTC] CPU: 2.6% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:08:52 UTC] CPU: 0.3% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:08:58 UTC] CPU: 1.3% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:09:03 UTC] CPU: 1.0% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:09:09 UTC] CPU: 0.0% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:09:14 UTC] CPU: 1.8% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:09:20 UTC] CPU: 0.0% | RAM: 10/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:09:49 UTC] CPU: 15.7% | RAM: 6,829/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:09:54 UTC] CPU: 5.7% | RAM: 6,854/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:10:00 UTC] CPU: 0.8% | RAM: 6,888/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:10:06 UTC] CPU: 0.0% | RAM: 6,870/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:10:11 UTC] CPU: 0.8% | RAM: 6,871/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:10:17 UTC] CPU: 0.3% | RAM: 6,870/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:10:23 UTC] CPU: 0.0% | RAM: 6,886/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:10:29 UTC] CPU: 0.3% | RAM: 6,976/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:10:34 UTC] CPU: 2.3% | RAM: 6,992/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:10:40 UTC] CPU: 2.3% | RAM: 6,978/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:10:46 UTC] CPU: 0.8% | RAM: 6,837/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:10:52 UTC] CPU: 0.5% | RAM: 6,786/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:10:57 UTC] CPU: 0.5% | RAM: 6,832/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:11:03 UTC] CPU: 1.5% | RAM: 6,868/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:11:09 UTC] CPU: 3.4% | RAM: 6,947/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:11:14 UTC] CPU: 1.5% | RAM: 6,943/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:11:20 UTC] CPU: 1.6% | RAM: 6,822/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:11:26 UTC] CPU: 0.3% | RAM: 6,798/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:11:32 UTC] CPU: 0.0% | RAM: 6,801/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:11:37 UTC] CPU: 1.3% | RAM: 6,800/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:11:43 UTC] CPU: 1.3% | RAM: 6,801/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:11:49 UTC] CPU: 2.3% | RAM: 6,520/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:11:54 UTC] CPU: 0.3% | RAM: 6,527/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:12:00 UTC] CPU: 0.8% | RAM: 6,528/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:12:06 UTC] CPU: 2.8% | RAM: 6,574/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:12:12 UTC] CPU: 20.4% | RAM: 6,669/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:12:17 UTC] CPU: 0.8% | RAM: 6,661/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:12:23 UTC] CPU: 0.8% | RAM: 6,618/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:12:29 UTC] CPU: 22.5% | RAM: 6,672/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:12:34 UTC] CPU: 4.6% | RAM: 6,766/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:12:40 UTC] CPU: 10.0% | RAM: 6,814/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:12:46 UTC] CPU: 2.5% | RAM: 6,823/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:12:52 UTC] CPU: 0.8% | RAM: 6,821/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:12:57 UTC] CPU: 2.6% | RAM: 6,827/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:13:03 UTC] CPU: 1.0% | RAM: 6,821/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:13:09 UTC] CPU: 1.0% | RAM: 6,824/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:13:14 UTC] CPU: 0.3% | RAM: 6,830/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:13:20 UTC] CPU: 1.3% | RAM: 6,846/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:13:26 UTC] CPU: 0.8% | RAM: 6,856/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:13:31 UTC] CPU: 1.3% | RAM: 6,855/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:13:37 UTC] CPU: 0.3% | RAM: 6,852/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:13:43 UTC] CPU: 3.5% | RAM: 6,886/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:13:49 UTC] CPU: 1.3% | RAM: 6,978/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:13:54 UTC] CPU: 22.5% | RAM: 6,848/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:14:00 UTC] CPU: 0.5% | RAM: 6,839/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:14:06 UTC] CPU: 0.0% | RAM: 6,824/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:14:11 UTC] CPU: 0.5% | RAM: 6,825/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:14:17 UTC] CPU: 0.3% | RAM: 6,824/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:14:23 UTC] CPU: 0.5% | RAM: 6,825/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:14:29 UTC] CPU: 0.3% | RAM: 6,826/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:14:34 UTC] CPU: 0.3% | RAM: 6,725/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:14:40 UTC] CPU: 0.0% | RAM: 6,727/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:14:46 UTC] CPU: 0.0% | RAM: 6,730/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:14:51 UTC] CPU: 0.5% | RAM: 6,736/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:14:57 UTC] CPU: 1.0% | RAM: 6,741/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:15:03 UTC] CPU: 0.0% | RAM: 6,742/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:15:08 UTC] CPU: 0.0% | RAM: 6,742/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:15:14 UTC] CPU: 0.0% | RAM: 6,742/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:15:20 UTC] CPU: 2.6% | RAM: 6,738/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:15:25 UTC] CPU: 0.0% | RAM: 6,743/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:15:31 UTC] CPU: 0.5% | RAM: 6,748/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:15:37 UTC] CPU: 0.3% | RAM: 6,755/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:15:43 UTC] CPU: 2.3% | RAM: 6,755/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:15:48 UTC] CPU: 2.6% | RAM: 6,747/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:15:54 UTC] CPU: 0.0% | RAM: 6,746/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:16:00 UTC] CPU: 0.8% | RAM: 6,743/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:16:05 UTC] CPU: 0.0% | RAM: 6,753/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:16:11 UTC] CPU: 0.5% | RAM: 6,753/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:16:17 UTC] CPU: 1.6% | RAM: 6,753/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:16:22 UTC] CPU: 0.0% | RAM: 6,754/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:16:28 UTC] CPU: 0.3% | RAM: 6,756/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:16:34 UTC] CPU: 2.1% | RAM: 6,793/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:16:40 UTC] CPU: 0.5% | RAM: 6,807/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:16:45 UTC] CPU: 0.3% | RAM: 6,784/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:16:51 UTC] CPU: 0.0% | RAM: 6,519/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:16:57 UTC] CPU: 1.3% | RAM: 6,526/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:17:02 UTC] CPU: 0.5% | RAM: 6,547/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:17:08 UTC] CPU: 0.5% | RAM: 6,546/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:17:14 UTC] CPU: 0.0% | RAM: 6,557/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:17:20 UTC] CPU: 0.5% | RAM: 6,560/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:17:25 UTC] CPU: 1.0% | RAM: 6,580/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:17:31 UTC] CPU: 0.5% | RAM: 6,585/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:17:37 UTC] CPU: 5.2% | RAM: 6,614/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:17:42 UTC] CPU: 0.3% | RAM: 6,878/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:17:48 UTC] CPU: 1.5% | RAM: 6,868/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:17:54 UTC] CPU: 0.3% | RAM: 6,842/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:18:00 UTC] CPU: 0.0% | RAM: 6,846/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:18:05 UTC] CPU: 0.3% | RAM: 6,811/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:18:11 UTC] CPU: 0.0% | RAM: 6,817/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:18:17 UTC] CPU: 1.0% | RAM: 6,733/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:18:22 UTC] CPU: 0.0% | RAM: 6,588/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:18:28 UTC] CPU: 0.0% | RAM: 6,588/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:18:34 UTC] CPU: 0.0% | RAM: 6,584/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:18:39 UTC] CPU: 0.3% | RAM: 6,589/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:18:45 UTC] CPU: 0.0% | RAM: 6,592/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:18:51 UTC] CPU: 0.5% | RAM: 6,597/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:18:56 UTC] CPU: 1.0% | RAM: 6,599/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:19:02 UTC] CPU: 0.0% | RAM: 6,603/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:19:08 UTC] CPU: 0.3% | RAM: 6,605/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:19:14 UTC] CPU: 0.3% | RAM: 6,608/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:19:19 UTC] CPU: 0.0% | RAM: 6,610/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:19:25 UTC] CPU: 0.3% | RAM: 6,622/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:19:31 UTC] CPU: 0.5% | RAM: 6,628/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:19:36 UTC] CPU: 1.3% | RAM: 6,627/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:19:42 UTC] CPU: 0.3% | RAM: 6,627/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:19:48 UTC] CPU: 0.0% | RAM: 6,509/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:19:53 UTC] CPU: 0.0% | RAM: 6,507/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:19:59 UTC] CPU: 0.0% | RAM: 6,511/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:20:05 UTC] CPU: 0.0% | RAM: 6,501/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:20:11 UTC] CPU: 1.8% | RAM: 6,512/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:20:16 UTC] CPU: 0.0% | RAM: 6,514/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:20:22 UTC] CPU: 1.3% | RAM: 6,515/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:20:28 UTC] CPU: 24.5% | RAM: 6,564/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:20:33 UTC] CPU: 0.5% | RAM: 6,550/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:20:39 UTC] CPU: 1.6% | RAM: 6,550/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:20:45 UTC] CPU: 0.3% | RAM: 6,547/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:20:50 UTC] CPU: 3.6% | RAM: 6,555/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:20:56 UTC] CPU: 1.5% | RAM: 6,625/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:21:02 UTC] CPU: 6.2% | RAM: 6,669/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:21:08 UTC] CPU: 1.6% | RAM: 6,681/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:21:13 UTC] CPU: 0.8% | RAM: 6,514/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:21:19 UTC] CPU: 1.5% | RAM: 6,513/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:21:25 UTC] CPU: 2.0% | RAM: 6,510/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:21:30 UTC] CPU: 1.3% | RAM: 6,507/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:21:36 UTC] CPU: 0.5% | RAM: 6,501/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:21:42 UTC] CPU: 0.5% | RAM: 6,510/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:21:47 UTC] CPU: 1.0% | RAM: 6,497/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:21:53 UTC] CPU: 0.8% | RAM: 6,393/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:21:59 UTC] CPU: 0.0% | RAM: 6,409/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:22:05 UTC] CPU: -16.9% | RAM: 6,494/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:22:10 UTC] CPU: 2.3% | RAM: 6,503/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:22:16 UTC] CPU: 1.0% | RAM: 6,507/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:22:22 UTC] CPU: 0.5% | RAM: 6,542/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:22:27 UTC] CPU: 0.3% | RAM: 6,435/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:22:33 UTC] CPU: 0.0% | RAM: 6,441/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:22:39 UTC] CPU: 0.8% | RAM: 6,431/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:22:45 UTC] CPU: 0.0% | RAM: 6,431/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:22:50 UTC] CPU: 0.5% | RAM: 6,431/7,488 MB | Disk: 165/475 GB
[2026-05-30 04:22:56 UTC] CPU: 1.0% | RAM: 6,419/7,488 MB | Disk: 165/475 GB
